id,name,spec,cat,price,oldPrice,emoji,badge,isNew,desc,image
1,iPhone 16 Pro Max,256 ГБ Desert Titanium,iphone,129900,139900,📱,Хит,false,Камера 48 Мп ProRAW чип A18 Pro экран 6.9 дюймов Super Retina XDR 120 Гц.,
2,iPhone 15,128 ГБ Розовый,iphone,74900,,📱,,false,Динамический остров USB-C камера 48 Мп. Чип A16 Bionic.,
3,iPhone 16,128 ГБ Белый,iphone,89900,,📱,Новинка,true,Кнопка Камера чип A18 Wi-Fi 7. Поддержка Apple Intelligence.,
4,iPad Pro 13,M4 256 ГБ Wi-Fi,ipad,149900,159000,⬜,Скидка,false,OLED экран Ultra Retina XDR чип M4 10 часов работы.,
5,iPad Air 11,M2 128 ГБ,ipad,84900,,⬜,,false,Производительность M2. Apple Pencil Pro и Magic Keyboard Folio.,
6,MacBook Air 13,M3 8 ГБ 256 ГБ,macbook,114900,124900,💻,Скидка,false,18 часов автономной работы. Два порта Thunderbolt MagSafe.,
7,MacBook Pro 14,M4 Pro 24 ГБ 512 ГБ,macbook,249900,,💻,,true,22 часа работы 24 ГБ памяти дисплей Liquid Retina XDR.,
8,Samsung Galaxy S25 Ultra,12 ГБ 256 ГБ Titanium Gray,samsung_phone,119990,129990,📱,Скидка,false,S Pen камера 200 Мп Snapdragon 8 Elite 6.9 дюймов Dynamic AMOLED 2X.,
9,Samsung Galaxy S25,12 ГБ 128 ГБ Icy Blue,samsung_phone,79990,,📱,Хит,false,Snapdragon 8 Elite Galaxy AI 6.2 дюйма AMOLED 120 Гц.,
10,Samsung Galaxy A55,8 ГБ 256 ГБ Navy,samsung_phone,39990,44990,📱,,false,AMOLED 120 Гц IP67 камера 50 Мп OIS 5000 мАч.,
11,Samsung Galaxy Tab S10 Ultra,12 ГБ 256 ГБ Wi-Fi,samsung_tablet,119990,,📟,Новинка,true,14.6 дюймов Dynamic AMOLED 2X S Pen в комплекте.,
12,Samsung Galaxy Tab S9 FE,6 ГБ 128 ГБ,samsung_tablet,44990,54990,📟,Скидка,false,10.9 дюймов IP68 S Pen в комплекте.,
13,AirPods Pro 2,USB-C MagSafe,accessories,24900,27900,🎧,Скидка,false,Активное шумоподавление H2 30 часов с кейсом.,
14,Apple Watch Series 10,46 мм Jet Black GPS,accessories,44900,,⌚,,false,ЭКГ датчик температуры Always-On дисплей.,
15,Samsung Galaxy Watch 7,44 мм Cream,accessories,29990,34990,⌚,Скидка,false,BioActive Sensor 40 часов автономной работы.,
16,Чехол MagSafe iPhone 16,Кожа Midnight,accessories,5900,,📦,,false,Натуральная кожа MagSafe совместимость.,
